video_id,title,published_at,duration,view_count,like_count,comment_count,transcript_length,unique_event_name,series,number,guests,other_participants,youtube_url
C94WDXAe4EE,Narrative as active inference,2020-07-28T10:00:00,,0,0,0,0,Livestream #001.1,Livestream,#001.1,,"Ivan Metelkin,Alexander Vyatkin,Daniel Friedman",https://youtu.be/C94WDXAe4EE
601-lt_8eVE,Is the free-energy principle a formal theory of semantics? From variational density dynamics to neural and phenotypic representations,2020-08-11T10:00:00,,0,0,0,0,Livestream #002.1,Livestream,#002.1,,"Ivan Metelkin,Alexandra Mikhailova,Daniel Friedman",https://youtu.be/601-lt_8eVE
mz7L4GD5g-E,A World Unto Itself: Human Communication as Active Inference,2020-08-25T00:00:00,,0,0,0,0,Livestream #003.1,Livestream,#003.1,Jared Vasil,"Stephen Sillett,V. Bleu Knight,Alexander Vyatkin,Ivan Metelkin,Daniel Friedman,Shannon Proksch",https://youtu.be/mz7L4GD5g-E
ijuxHfPDd3U,A World Unto Itself: Human Communication as Active Inference,2020-09-02T00:00:00,,0,0,0,0,Livestream #003.2,Livestream,#003.2,,"Alexander Vyatkin,Ivan Metelkin,Daniel Friedman,Shannon Proksch,Alexandra Mikhailova",https://youtu.be/ijuxHfPDd3U
Y6qx6C1tmjs,Cultural Affordances: Scaffolding Local Worlds Through Shared Intentionality and Regimes of Attention,2020-09-15T00:00:00,,0,0,0,0,Livestream #004.1,Livestream,#004.1,,,https://youtu.be/Y6qx6C1tmjs
SAc1F1AWRAs,Cultural Affordances: Scaffolding Local Worlds Through Shared Intentionality and Regimes of Attention,2020-09-22T00:00:00,,0,0,0,0,Livestream #004.2,Livestream,#004.2,,,https://youtu.be/SAc1F1AWRAs
g2n47dPUyNY,Multiscale integration: beyond internalism and externalism,2020-09-27T00:00:00,,0,0,0,0,Livestream #005.0,Livestream,#005.0,,,https://youtu.be/g2n47dPUyNY
B6Uqf_T-nec,Multiscale integration: beyond internalism and externalism,2020-09-29T00:00:00,,0,0,0,0,Livestream #005.1,Livestream,#005.1,,,https://youtu.be/B6Uqf_T-nec
V7yNq_KpHo8,Multiscale integration: beyond internalism and externalism,2020-10-06T00:00:00,,0,0,0,0,Livestream #005.2,Livestream,#005.2,,,https://youtu.be/V7yNq_KpHo8
jHWCQ1dpoK0,A tale of two densities: active inference is enactive inference,2020-10-09T07:00:00,,0,0,0,0,Livestream #006.0,Livestream,#006.0,,Daniel Friedman,https://youtu.be/jHWCQ1dpoK0
